Age,Number_of_Referrals,Tenure_in_Months,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_ID,Gender,Married,State,Value_Deal,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Customer_Status,Churn_Category,Churn_Reason
44,0,23,20.4,1090.6,0.0,0,1063.8,2154.4,27129-TAM,Male,Yes,Tamil Nadu,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,Stayed,Unknown,Unknown
69,6,3,19.6,471.85,21.25,0,980.2,1430.8,81327-JHA,Female,Yes,Jharkhand,Deal 3,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
49,8,2,19.7,1396.9,0.0,0,2648.91,4045.81,42012-UTT,Female,No,Uttar Pradesh,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Bank Withdrawal,Stayed,Unknown,Unknown
22,4,8,91.2,3247.55,0.0,0,1591.37,4838.92,79321-MAH,Female,Yes,Maharashtra,Deal 3,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,Stayed,Unknown,Unknown
46,2,18,20.45,900.9,0.0,0,2429.42,3330.32,82811-HAR,Female,Yes,Haryana,Deal 2,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,No,Bank Withdrawal,Stayed,Unknown,Unknown
26,7,8,2.0,7942.15,0.0,0,2888.82,10830.97,36568-HAR,Male,Yes,Haryana,Unknown,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Stayed,Unknown,Unknown
30,12,20,20.55,1343.4,30.53,0,1549.04,2861.91,62683-UTT,Female,No,Uttar Pradesh,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,No,Bank Withdrawal,Stayed,Unknown,Unknown
32,14,2,39.4,825.4,0.0,0,0.0,825.4,18223-MAD,Male,No,Madhya Pradesh,Unknown,No,Unknown,Yes,Cable,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,Stayed,Unknown,Unknown
32,10,8,25.1,1070.15,0.0,0,1317.52,2387.67,41111-MAH,Female,No,Maharashtra,Unknown,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
41,15,16,89.8,4959.6,0.0,0,279.4,5239.0,74542-MAH,Female,No,Maharashtra,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
56,2,30,94.75,5597.65,0.0,0,967.01,6564.66,18842-HAR,Male,Yes,Haryana,Deal 2,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
52,0,31,20.3,224.5,0.0,0,231.36,455.86,12210-DEL,Female,No,Delhi,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Bank Withdrawal,Stayed,Unknown,Unknown
61,1,20,75.75,1929.0,0.0,0,682.02,2611.02,76566-UTT,Male,No,Uttar Pradesh,Deal 3,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
66,10,21,49.25,91.1,0.0,0,87.98,179.08,73036-JAM,Female,Yes,Jammu & Kashmir,Unknown,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned,Competitor,Competitor made better offer
25,3,25,78.2,2078.95,0.0,0,1320.57,3399.52,42964-MAH,Female,Yes,Maharashtra,Deal 3,Yes,No,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,Stayed,Unknown,Unknown
35,12,19,25.5,630.6,44.42,0,592.25,1178.43,18220-JHA,Male,No,Jharkhand,Unknown,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,Stayed,Unknown,Unknown
51,15,14,61.6,1611.0,44.9,0,161.25,1727.35,47645-PUN,Male,Yes,Punjab,Unknown,Yes,No,Yes,Cable,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
52,7,23,45.0,1242.45,12.26,0,0.0,1230.19,82015-UTT,Female,No,Uttar Pradesh,Unknown,No,Unknown,Yes,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed,Unknown,Unknown
22,6,3,85.15,6316.2,0.0,0,2329.92,8646.12,15644-ASS,Female,No,Assam,Unknown,Yes,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
61,12,28,51.45,727.85,0.0,0,336.56,1064.41,24801-WES,Female,Yes,West Bengal,Unknown,Yes,No,Yes,Cable,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,Stayed,Unknown,Unknown
36,5,4,99.25,3532.0,0.0,0,1274.7,4806.7,85794-JHA,Female,No,Jharkhand,Deal 3,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
53,14,12,44.3,44.3,0.0,0,42.95,87.25,72357-MAD,Female,No,Madhya Pradesh,Deal 5,Yes,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,Joined,Unknown,Unknown
54,3,14,94.2,2607.6,0.0,20,59.45,2687.05,28648-DEL,Male,Yes,Delhi,Unknown,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
26,3,20,81.25,5567.55,0.0,40,351.36,5958.91,85682-UTT,Female,No,Uttarakhand,Unknown,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,Stayed,Unknown,Unknown
31,9,14,99.95,3767.4,0.0,0,950.82,4718.22,93096-AND,Male,Yes,Andhra Pradesh,Unknown,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Stayed,Unknown,Unknown
73,4,29,91.55,3673.6,0.0,0,1765.6,5439.2,49974-RAJ,Female,No,Rajasthan,Unknown,Yes,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
47,9,26,104.5,4036.85,0.0,0,1507.6,5544.45,36405-CHH,Male,No,Chhattisgarh,Unknown,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,Churned,Competitor,Competitor had better devices
73,4,1,95.0,1120.3,0.0,120,127.49,1367.79,22439-RAJ,Female,Yes,Rajasthan,Deal 4,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,Churned,Dissatisfaction,Product dissatisfaction
28,2,3,50.35,314.55,0.0,0,255.96,570.51,33514-UTT,Female,Yes,Uttar Pradesh,Deal 5,Yes,Yes,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed,Unknown,Unknown
54,15,34,64.5,1888.45,0.0,0,79.2,1967.65,21555-JHA,Female,No,Jharkhand,Unknown,Yes,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,Stayed,Unknown,Unknown
31,8,31,19.4,529.8,0.0,0,557.82,1087.62,46640-PUN,Male,Yes,Punjab,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
68,3,16,104.8,7308.95,6.11,0,2764.3,10067.14,23376-TAM,Female,No,Tamil Nadu,Unknown,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
65,5,2,50.3,2878.55,10.23,0,1065.46,3933.78,98423-JAM,Male,No,Jammu & Kashmir,Unknown,Yes,No,Yes,DSL,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,Stayed,Unknown,Unknown
21,9,6,71.4,1212.1,0.0,0,411.36,1623.46,34135-MAH,Female,No,Maharashtra,Unknown,Yes,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
58,15,33,116.0,8182.85,0.0,0,2657.88,10840.73,89530-KAR,Female,Yes,Karnataka,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
27,9,27,19.85,19.85,0.0,0,31.77,51.62,69173-TAM,Male,No,Tamil Nadu,Deal 5,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Bank Withdrawal,Churned,Attitude,Attitude of support person
54,6,36,99.75,99.75,0.0,0,40.71,140.46,22286-HAR,Female,Yes,Haryana,Unknown,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned,Competitor,Competitor had better devices
73,8,32,93.95,2861.45,0.0,0,1019.52,3880.97,66581-UTT,Female,Yes,Uttar Pradesh,Deal 3,Yes,No,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,Stayed,Unknown,Unknown
46,9,35,90.8,1442.2,0.0,0,779.36,2221.56,22573-TAM,Male,No,Tamil Nadu,Deal 4,Yes,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
66,10,1,84.35,4059.35,0.0,0,1937.95,5997.3,25964-HAR,Male,Yes,Haryana,Deal 2,Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Churned,Competitor,Competitor offered higher download speeds
42,13,12,58.25,4145.9,0.0,0,0.0,4145.9,92186-PUN,Female,No,Punjab,Deal 1,No,Unknown,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,Stayed,Unknown,Unknown
41,3,31,107.55,3645.5,0.0,0,1639.77,5285.27,39892-ODI,Male,Yes,Odisha,Unknown,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,Stayed,Unknown,Unknown
18,1,1,19.95,187.75,0.0,0,496.0,683.75,71292-MAH,Female,No,Maharashtra,Deal 4,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
20,15,1,111.2,2317.1,0.0,120,761.46,3198.56,31698-PUN,Female,Yes,Punjab,Unknown,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,Churned,Attitude,Attitude of service provider
47,7,10,40.2,1448.8,0.0,0,0.0,1448.8,76182-UTT,Male,No,Uttar Pradesh,Unknown,No,Unknown,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Churned,Competitor,Competitor offered more data
72,14,29,85.8,2193.65,0.0,0,877.24,3070.89,73588-KER,Female,No,Kerala,Unknown,Yes,No,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,Stayed,Unknown,Unknown
50,5,17,35.4,1748.9,0.0,0,0.0,1748.9,59410-MAH,Male,No,Maharashtra,Deal 2,No,Unknown,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,Stayed,Unknown,Unknown
31,5,10,73.85,511.25,13.03,0,200.34,698.56,69444-JAM,Female,Yes,Jammu & Kashmir,Unknown,Yes,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned,Competitor,Competitor made better offer
59,9,5,88.1,5526.75,0.0,0,2878.59,8405.34,66365-UTT,Female,Yes,Uttar Pradesh,Deal 2,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,Stayed,Unknown,Unknown
38,8,27,101.35,1553.95,0.0,0,688.8,2242.75,66612-TEL,Female,Yes,Telangana,Deal 4,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned,Attitude,Attitude of service provider
54,10,7,45.8,1147.0,0.0,0,0.0,1147.0,39181-WES,Male,Yes,West Bengal,Unknown,No,Unknown,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,Stayed,Unknown,Unknown
35,4,29,94.65,6747.35,0.0,0,2391.84,9139.19,97688-TAM,Female,Yes,Tamil Nadu,Unknown,Yes,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
69,4,12,20.5,865.05,0.0,0,1205.6,2070.65,71687-KER,Male,Yes,Kerala,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
57,13,23,89.4,5976.9,36.02,40,3219.48,9200.36,34524-MAH,Female,No,Maharashtra,Deal 1,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,Stayed,Unknown,Unknown
44,14,6,86.25,181.65,0.0,0,73.62,255.27,93739-UTT,Female,No,Uttar Pradesh,Unknown,Yes,No,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned,Competitor,Competitor offered higher download speeds
79,15,36,74.85,3268.05,17.91,0,339.68,3589.82,21662-AND,Male,Yes,Andhra Pradesh,Unknown,Yes,No,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,Stayed,Unknown,Unknown
58,14,28,89.75,1052.4,0.0,0,172.56,1224.96,19096-WES,Female,Yes,West Bengal,Deal 4,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned,Attitude,Attitude of support person
73,11,20,109.95,7634.25,0.0,0,1270.29,8904.54,72489-HAR,Female,No,Haryana,Unknown,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
26,13,27,80.2,80.2,0.0,0,1.23,81.43,46624-WES,Female,Yes,West Bengal,Deal 5,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,Churned,Price,Lack of affordable download/upload speed
28,6,18,19.85,63.75,0.0,0,77.25,141.0,14078-MAH,Female,Yes,Maharashtra,Deal 5,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,Churned,Price,Long distance charges
81,0,21,86.45,2401.05,0.0,0,80.19,2481.24,34425-ASS,Male,No,Assam,Unknown,Yes,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
54,10,12,20.3,511.25,0.0,0,346.84,858.09,41236-GUJ,Female,No,Gujarat,Deal 3,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
76,6,12,101.25,3949.15,0.0,0,785.85,4735.0,68369-UTT,Female,No,Uttar Pradesh,Unknown,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
42,4,20,94.7,2362.1,0.0,0,872.0,3234.1,91027-CHH,Male,No,Chhattisgarh,Unknown,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned,Competitor,Competitor had better devices
42,11,1,70.9,70.9,0.0,0,39.81,110.71,85993-KAR,Female,Yes,Karnataka,Deal 5,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,Churned,Competitor,Competitor had better devices
52,5,34,54.2,1152.7,0.0,0,599.28,1751.98,12999-BIH,Female,No,Bihar,Deal 4,Yes,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Churned,Attitude,Attitude of service provider
57,12,26,114.9,8496.7,0.0,0,3482.64,11979.34,48768-MAD,Female,No,Madhya Pradesh,Deal 1,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
55,7,24,19.55,470.2,0.0,0,255.36,725.56,86994-ODI,Female,Yes,Odisha,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
38,0,32,86.85,1564.4,0.0,0,148.96,1713.36,95096-UTT,Male,No,Uttar Pradesh,Unknown,Yes,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
18,3,6,25.35,1847.55,0.0,0,653.2,2500.75,71676-GUJ,Female,No,Gujarat,Unknown,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Two Year,No,Credit Card,Stayed,Unknown,Unknown
77,5,5,109.9,3694.7,0.0,0,829.95,4524.65,84002-ODI,Male,No,Odisha,Unknown,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,Stayed,Unknown,Unknown
58,11,18,19.95,58.0,0.0,0,8.07,66.07,66612-KAR,Female,Yes,Karnataka,Unknown,Yes,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Month-to-Month,No,Credit Card,Joined,Unknown,Unknown
52,11,1,87.2,4017.45,0.0,0,51.23,4068.68,32553-TAM,Male,No,Tamil Nadu,Unknown,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,Stayed,Unknown,Unknown
39,4,36,108.15,6825.65,0.0,0,109.12,6934.77,72664-JAM,Female,No,Jammu & Kashmir,Unknown,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,Stayed,Unknown,Unknown
